Year,Region,District,Cycle,3 to 11 months male,3 to 11 months female,12 to 59 months male,12 to 59 months female,ADR Name
ti,DISTRICT3929,1,5588,1377,4370,984,Vomiting
2018,Ashanti,DISTRICT3929,2,1236,1390,1083,532,Insomnia
2018,Ashanti,DISTRICT3929,3,2603,1179,3707,854,Itching
2018,Ashanti,DISTRICT3929,4,1946,1603,3907,1554,Drowsiness
2018,Ashanti,DISTRICT3929,1,5085,1238,4041,1528,Dizziness
2018,Ashanti,DISTRICT3929,2,3317,1260,2495,1712,Rash
2018,Ashanti,DISTRICT3929,3,7825,1152,2826,902,Diarrhea
2018,Ashanti,DISTRICT3929,4,1209,1032,1453,693,Nausea
2018,Ashanti,DISTRICT1955,1,7831,820,1002,562,Hives
2018,Ashanti,DISTRICT1955,2,7478,836,4914,1748,Dizziness
2018,Ashanti,DISTRICT1955,3,1671,1006,4620,539,Diarrhea
2018,Ashanti,DISTRICT1955,4,1009,1652,855,891,Itching
2018,Ashanti,DISTRICT1955,1,1837,1094,4314,1252,Vomiting
2018,Ashanti,DISTRICT1955,2,2974,944,1828,1353,Dizziness
2018,Ashanti,DISTRICT1955,3,2209,1116,1598,1081,Diarrhea
2018,Ashanti,DISTRICT1955,4,5038,1915,3227,1563,Nausea
2018,Ashanti,DISTRICT1955,1,8345,998,2455,1650,Drowsiness
2018,Ashanti,DISTRICT1955,2,6827,1869,1070,927,Rash
2018,Ashanti,DISTRICT1955,3,6031,876,2515,1771,Dizziness
2018,Ashanti,DISTRICT1955,4,8137,1705,4817,691,Rash
2018,Brong Ahafo,DISTRICT465,1,9426,782,4191,537,Nausea
2018,Brong Ahafo,DISTRICT465,2,7553,1196,2799,1480,Irritability
2018,Brong Ahafo,DISTRICT465,3,1682,1520,1964,1685,Nausea
2018,Brong Ahafo,DISTRICT465,4,6685,891,2795,1093,Diarrhea
2018,Brong Ahafo,DISTRICT465,1,7292,1137,4010,725,Dizziness
2018,Brong Ahafo,DISTRICT465,2,2720,1240,1385,1863,Nausea
2018,Brong Ahafo,DISTRICT465,3,1963,1248,3561,851,Irritability
2018,Brong Ahafo,DISTRICT465,4,7965,720,2288,1345,Abdominal pain
2018,Brong Ahafo,DISTRICT465,1,3023,599,1264,781,Irritability
2018,Brong Ahafo,DISTRICT465,2,3222,1967,3791,1316,Insomnia
2018,Brong Ahafo,DISTRICT465,3,2590,1196,4792,1843,Rash
2018,Brong Ahafo,DISTRICT465,4,9529,905,3636,954,Drowsiness
2018,Central,DISTRICT7244,1,5368,1666,2588,1970,Rash
2018,Central,DISTRICT7244,2,5093,871,4497,1381,Insomnia
2018,Central,DISTRICT7244,3,4036,1336,3928,613,Hives
2018,Central,DISTRICT7244,4,9695,794,857,553,Insomnia
2018,Central,DISTRICT7244,1,9800,1167,3338,1459,Diarrhea
2018,Central,DISTRICT7244,2,6451,1266,2902,1517,Vomiting
2018,Central,DISTRICT7244,3,5141,955,3023,1344,Rash
2018,Central,DISTRICT7244,4,4902,602,4496,1759,Irritability
2018,Central,DISTRICT7244,1,5027,1824,2455,1049,Irritability
2018,Central,DISTRICT7244,2,7331,1434,1008,990,Insomnia
2018,Central,DISTRICT7244,3,6830,1895,2175,610,Abdominal pain
2018,Central,DISTRICT7244,4,8388,1214,4770,1027,Insomnia
2018,Central,DISTRICT7244,1,7633,1775,3518,1273,Itching
2018,Central,DISTRICT7244,2,1954,1100,3376,1556,Diarrhea
2018,Central,DISTRICT7244,3,5160,1078,3662,1708,Hives
2018,Central,DISTRICT7244,4,1339,1763,2074,1227,Drowsiness
2018,Central,DISTRICT6729,1,8276,679,4378,1073,Diarrhea
2018,Central,DISTRICT6729,2,3371,1339,3206,655,Drowsiness
2018,Central,DISTRICT6729,3,3455,1657,4505,935,Insomnia
2018,Central,DISTRICT6729,4,8690,988,1375,1196,Nausea
2018,Central,DISTRICT400,1,9816,929,4384,908,Abdominal pain
2018,Central,DISTRICT400,2,9354,1733,3537,1917,Drowsiness
2018,Central,DISTRICT400,3,2606,1633,1357,1692,Abdominal pain
2018,Central,DISTRICT400,4,8322,979,4009,1813,Insomnia
2018,Central,DISTRICT400,1,1980,1681,869,1403,Drowsiness
2018,Central,DISTRICT400,2,6233,632,2333,1092,Itching
2018,Central,DISTRICT400,3,3169,1826,2813,1214,Abdominal pain
2018,Central,DISTRICT400,4,4600,997,3730,1852,Itching
2018,Central,DISTRICT400,1,8556,835,2017,1794,Hives
2018,Central,DISTRICT400,2,4852,1778,1800,1654,Nausea
2018,Central,DISTRICT400,3,3084,1036,2066,1206,Hives
2018,Central,DISTRICT400,4,9674,1902,2997,1424,Vomiting
2018,Central,DISTRICT9229,1,3497,1288,3390,635,Abdominal pain
2018,Central,DISTRICT9229,2,2648,855,1542,1060,Itching
2018,Central,DISTRICT9229,3,9173,1343,3737,1933,Itching
2018,Central,DISTRICT9229,4,3033,876,2565,842,Nausea
2018,Central,DISTRICT9229,1,1905,1760,4334,613,Rash
2018,Central,DISTRICT9229,2,1263,1626,3633,1037,Nausea
2018,Central,DISTRICT9229,3,3406,1359,1098,1591,Rash
2018,Central,DISTRICT9229,4,9791,1793,3844,1791,Dizziness
2018,Central,DISTRICT9229,1,9657,1383,1409,514,Rash
2018,Central,DISTRICT9229,2,3188,1546,1218,1461,Itching
2018,Central,DISTRICT9229,3,3888,1353,1484,842,Nausea
2018,Central,DISTRICT9229,4,8747,1104,3107,1118,Hives
2018,Central,DISTRICT9229,1,9815,624,4171,893,Abdominal pain
2018,Central,DISTRICT9229,2,6929,1134,1338,1972,Irritability
