Year,Region,District,Cycle,3 to 11 months male,3 to 11 months female,12 to 59 months male,12 to 59 months female
ISTRICT4332,1,1456,1274,4696,542
2018,Brong Ahafo,DISTRICT4332,2,6975,698,1089,888
2018,Brong Ahafo,DISTRICT4332,3,4726,865,1692,1938
2018,Brong Ahafo,DISTRICT4332,4,5201,687,3535,603
2018,Brong Ahafo,DISTRICT7553,1,7638,1303,2040,1617
2018,Brong Ahafo,DISTRICT7553,2,3802,1715,1662,660
2018,Brong Ahafo,DISTRICT7553,3,4836,741,851,1175
2018,Brong Ahafo,DISTRICT7553,4,3305,673,4864,984
2018,Central,DISTRICT3801,1,3648,1092,2555,884
2018,Central,DISTRICT3801,2,9039,1157,2592,1315
2018,Central,DISTRICT3801,3,7653,1891,3600,1458
2018,Central,DISTRICT3801,4,8643,1466,2684,1535
2018,Central,DISTRICT7022,1,9432,1513,2978,1574
2018,Central,DISTRICT7022,2,3726,765,870,838
2018,Central,DISTRICT7022,3,6250,554,3852,1999
2018,Central,DISTRICT7022,4,4047,1165,1410,1564
2018,Central,DISTRICT5843,1,9948,1839,1400,702
2018,Central,DISTRICT5843,2,9619,1617,2416,1003
2018,Central,DISTRICT5843,3,6385,905,4054,654
2018,Central,DISTRICT5843,4,7326,1499,1945,1131
2018,Central,DISTRICT9233,1,1921,1943,4677,1035
2018,Central,DISTRICT9233,2,8041,686,4768,645
2018,Central,DISTRICT9233,3,9424,750,3187,1453
2018,Central,DISTRICT9233,4,9143,1846,2575,1778
2018,Eastern,DISTRICT5052,1,5394,1385,3883,1256
2018,Eastern,DISTRICT5052,2,3482,1833,1257,1146
2018,Eastern,DISTRICT5052,3,5159,1340,4192,1392
2018,Eastern,DISTRICT5052,4,6518,618,1735,1881
2018,Eastern,DISTRICT816,1,6318,1295,4588,1948
2018,Eastern,DISTRICT816,2,9999,1248,3541,1153
2018,Eastern,DISTRICT816,3,3099,541,1500,1374
2018,Eastern,DISTRICT816,4,5795,1734,1134,745
2018,Greater Accra,DISTRICT2000,1,6674,684,3902,1751
2018,Greater Accra,DISTRICT2000,2,8876,1922,853,1490
2018,Greater Accra,DISTRICT2000,3,6529,1404,2162,1359
2018,Greater Accra,DISTRICT2000,4,9754,506,1294,1530
2018,Northern,DISTRICT1703,1,5837,1334,1008,753
2018,Northern,DISTRICT1703,2,5283,1318,2058,1330
2018,Northern,DISTRICT1703,3,3974,860,2026,999
2018,Northern,DISTRICT1703,4,5166,1634,2236,814
2018,Northern,DISTRICT4966,1,1726,805,1443,1704
2018,Northern,DISTRICT4966,2,6213,1813,4224,1052
2018,Northern,DISTRICT4966,3,6523,1995,2210,735
2018,Northern,DISTRICT4966,4,1324,1278,4361,773
2018,Northern,DISTRICT2455,1,1814,894,2600,875
2018,Northern,DISTRICT2455,2,5645,1536,2608,953
2018,Northern,DISTRICT2455,3,9226,1168,1314,1941
2018,Northern,DISTRICT2455,4,9833,1158,1694,1001
2018,Upper East,DISTRICT8013,1,5617,960,4365,604
2018,Upper East,DISTRICT8013,2,1613,720,3334,1140
2018,Upper East,DISTRICT8013,3,7458,1052,4444,1569
2018,Upper East,DISTRICT8013,4,3428,1392,2243,593
2018,Upper East,DISTRICT6463,1,4416,913,2322,730
2018,Upper East,DISTRICT6463,2,9484,654,2477,1259
2018,Upper East,DISTRICT6463,3,1861,595,1811,1647
2018,Upper East,DISTRICT6463,4,2910,1072,1082,668
2018,Upper East,DISTRICT4363,1,7986,1029,3204,765
2018,Upper East,DISTRICT4363,2,7972,841,4112,1061
2018,Upper East,DISTRICT4363,3,1506,880,2140,1033
2018,Upper East,DISTRICT4363,4,4941,870,4801,1315
2018,Upper West,DISTRICT7955,1,5431,582,4633,1318
2018,Upper West,DISTRICT7955,2,8266,1405,2777,890
2018,Upper West,DISTRICT7955,3,5674,1112,1394,887
2018,Upper West,DISTRICT7955,4,4331,1457,1951,871
2018,Upper West,DISTRICT4436,1,8626,687,4793,505
2018,Upper West,DISTRICT4436,2,3439,1945,2970,1168
2018,Upper West,DISTRICT4436,3,8707,1159,2472,1717
2018,Upper West,DISTRICT4436,4,8693,1155,2724,618
2018,Upper West,DISTRICT8105,1,5841,727,4922,1344
2018,Upper West,DISTRICT8105,2,7860,1133,1525,1715
2018,Upper West,DISTRICT8105,3,1512,551,3003,607
2018,Upper West,DISTRICT8105,4,9020,1618,3281,1295
2018,Upper West,DISTRICT8307,1,6981,1439,1412,1401
2018,Upper West,DISTRICT8307,2,9532,628,1147,542
2018,Upper West,DISTRICT8307,3,2358,905,1283,1683
2018,Upper West,DISTRICT8307,4,2393,1793,2520,1182
2018,Volta,DISTRICT7439,1,6652,694,2232,1743
2018,Volta,DISTRICT7439,2,9154,1723,3757,1540
2018,Volta,DISTRICT7439,3,9500,1338,3004,952
2018,Volta,DISTRICT7439,4,9714,996,3627,823
2018,Volta,DISTRICT5982,1,2348,1692,3737,1214
2018,Volta,DISTRICT5982,2,6461,1181,4014,1192
2018,Volta,DISTRICT5982,3,6640,1168,2809,1219
2018,Volta,DISTRICT5982,4,2669,1234,4302,1170
2018,Volta,DISTRICT9312,1,4420,1524,1064,519
2018,Volta,DISTRICT9312,2,5074,1651,4334,1984
2018,Volta,DISTRICT9312,3,3104,622,2427,1038
2018,Volta,DISTRICT9312,4,5836,588,3876,1227
2018,Volta,DISTRICT8465,1,5848,622,3770,966
2018,Volta,DISTRICT8465,2,6435,1147,4635,1113
2018,Volta,DISTRICT8465,3,2177,830,919,1438
2018,Volta,DISTRICT8465,4,4515,912,1504,1577
2018,Western,DISTRICT2365,1,7039,673,3817,1796
2018,Western,DISTRICT2365,2,4550,1408,2370,1180
2018,Western,DISTRICT2365,3,6554,1173,2118,863
2018,Western,DISTRICT2365,4,8699,936,2260,1128
2018,Savannah,DISTRICT3055,1,8288,584,4798,754
2018,Savannah,DISTRICT3055,2,9688,805,2368,828
2018,Savannah,DISTRICT3055,3,9211,835,4308,1679
2018,Savannah,DISTRICT3055,4,5527,1073,4235,978
2018,Savannah,DISTRICT7433,1,5181,1275,1098,1547
2018,Savannah,DISTRICT7433,2,8075,1569,1572,560
2018,Savannah,DISTRICT7433,3,2469,1487,4104,1280
2018,Savannah,DISTRICT7433,4,8022,533,866,1033
2018,Savannah,DISTRICT6287,1,1802,1571,3100,1585
2018,Savannah,DISTRICT6287,2,4121,958,3050,655
2018,Savannah,DISTRICT6287,3,4441,933,3916,1353
2018,Savannah,DISTRICT6287,4,1758,1015,1325,693
