Year,Region,District,Cycle,Number of households,3 to 11 months male,3 to 11 months female,12 to 59 months male,12 to 59 months female,Facilities
37,3,1718,963,1129,1215,2322,FAC5150
2018,Ashanti,DISTRICT4337,4,9662,1614,3966,1942,4657,FAC5150
2018,Ashanti,DISTRICT4337,1,7441,1279,2857,569,2904,FAC1818
2018,Ashanti,DISTRICT4337,2,7511,1046,2050,776,1848,FAC1818
2018,Ashanti,DISTRICT4337,3,8308,1206,1617,833,2187,FAC1818
2018,Ashanti,DISTRICT4337,4,8996,1606,1696,676,1873,FAC1818
2018,Ashanti,DISTRICT4337,1,5888,1911,3524,960,1846,FAC5512
2018,Ashanti,DISTRICT4337,2,9596,1923,908,1094,1706,FAC5512
2018,Ashanti,DISTRICT4337,3,6256,988,3072,1297,2383,FAC5512
2018,Ashanti,DISTRICT4337,4,2292,533,880,1240,1321,FAC5512
2018,Ashanti,DISTRICT7376,1,9759,594,4212,941,2328,FAC3348
2018,Ashanti,DISTRICT7376,2,2138,1791,2771,1787,4028,FAC3348
2018,Ashanti,DISTRICT7376,3,2366,1953,4890,759,3543,FAC3348
2018,Ashanti,DISTRICT7376,4,5927,1353,1382,1168,4809,FAC3348
2018,Ashanti,DISTRICT7376,1,9184,1314,4041,1111,3007,FAC2465
2018,Ashanti,DISTRICT7376,2,3750,1142,808,933,3267,FAC2465
2018,Ashanti,DISTRICT7376,3,4580,916,1564,1100,4426,FAC2465
2018,Ashanti,DISTRICT7376,4,1517,738,3297,1871,2440,FAC2465
2018,Ashanti,DISTRICT7376,1,1473,1325,1584,1043,4297,FAC3021
2018,Ashanti,DISTRICT7376,2,3134,915,1913,642,1541,FAC3021
2018,Ashanti,DISTRICT7376,3,7070,1318,3752,1427,3594,FAC3021
2018,Ashanti,DISTRICT7376,4,7727,1145,2616,999,2703,FAC3021
2018,Ashanti,DISTRICT7376,1,2756,1187,1415,1037,3418,FAC5805
2018,Ashanti,DISTRICT7376,2,4808,1454,2282,987,972,FAC5805
2018,Ashanti,DISTRICT7376,3,1442,1089,2060,896,2182,FAC5805
2018,Ashanti,DISTRICT7376,4,5024,932,4137,1796,1327,FAC5805
2018,Ashanti,DISTRICT7376,1,5326,985,2313,1581,1188,FAC4267
2018,Ashanti,DISTRICT7376,2,2091,703,4824,1058,2676,FAC4267
2018,Ashanti,DISTRICT7376,3,9916,843,4001,1712,2559,FAC4267
2018,Ashanti,DISTRICT7376,4,7344,1572,2839,1911,3677,FAC4267
2018,Ashanti,DISTRICT4772,1,2587,1936,3676,1925,2513,FAC5589
2018,Ashanti,DISTRICT4772,2,8437,940,911,602,3198,FAC5589
2018,Ashanti,DISTRICT4772,3,8389,1597,4883,1432,2896,FAC5589
2018,Ashanti,DISTRICT4772,4,3565,1968,2200,1291,3251,FAC5589
2018,Brong Ahafo,DISTRICT5715,1,2909,1282,2496,858,3669,FAC5832
2018,Brong Ahafo,DISTRICT5715,2,6196,1990,2954,611,3565,FAC5832
2018,Brong Ahafo,DISTRICT5715,3,7169,1729,3961,1724,2901,FAC5832
2018,Brong Ahafo,DISTRICT5715,4,9702,1000,969,719,4380,FAC5832
2018,Brong Ahafo,DISTRICT5715,1,4468,1700,4887,814,4844,FAC723
2018,Brong Ahafo,DISTRICT5715,2,1286,948,4217,796,3681,FAC723
2018,Brong Ahafo,DISTRICT5715,3,3655,577,1343,780,4299,FAC723
2018,Brong Ahafo,DISTRICT5715,4,8252,1701,4124,787,3749,FAC723
2018,Brong Ahafo,DISTRICT5715,1,6526,1264,1383,1275,1325,FAC533
2018,Brong Ahafo,DISTRICT5715,2,1961,1180,1429,645,1492,FAC533
2018,Brong Ahafo,DISTRICT5715,3,4687,1830,2037,1184,3563,FAC533
2018,Brong Ahafo,DISTRICT5715,4,5926,960,1700,1165,992,FAC533
2018,Brong Ahafo,DISTRICT5715,1,9094,786,1091,505,3696,FAC408
2018,Brong Ahafo,DISTRICT5715,2,7450,1632,1902,681,1787,FAC408
2018,Brong Ahafo,DISTRICT5715,3,7020,917,1382,1764,2400,FAC408
2018,Brong Ahafo,DISTRICT5715,4,2883,610,3571,1545,3180,FAC408
2018,Brong Ahafo,DISTRICT2690,1,1944,1387,2747,1463,3752,FAC1809
2018,Brong Ahafo,DISTRICT2690,2,2375,986,1371,917,3511,FAC1809
2018,Brong Ahafo,DISTRICT2690,3,8722,1699,4019,632,2124,FAC1809
2018,Brong Ahafo,DISTRICT2690,4,8925,1733,1858,882,1896,FAC1809
2018,Brong Ahafo,DISTRICT2690,1,9269,1979,2757,549,2755,FAC5886
2018,Brong Ahafo,DISTRICT2690,2,3190,1751,2883,814,1699,FAC5886
2018,Brong Ahafo,DISTRICT2690,3,2602,1284,2523,1827,814,FAC5886
2018,Brong Ahafo,DISTRICT2690,4,1972,1761,3459,582,958,FAC5886
2018,Brong Ahafo,DISTRICT2690,1,4578,1060,2359,1405,2652,FAC7080
2018,Brong Ahafo,DISTRICT2690,2,5294,1440,4938,758,3669,FAC7080
2018,Brong Ahafo,DISTRICT2690,3,7348,670,3997,1084,4380,FAC7080
2018,Brong Ahafo,DISTRICT2690,4,8265,694,2621,1371,4240,FAC7080
2018,Brong Ahafo,DISTRICT2690,1,7687,1147,4867,1917,4730,FAC7879
2018,Brong Ahafo,DISTRICT2690,2,3283,678,1531,1858,3206,FAC7879
2018,Brong Ahafo,DISTRICT2690,3,2101,706,1450,758,3346,FAC7879
2018,Brong Ahafo,DISTRICT2690,4,7123,1624,3041,1342,3068,FAC7879
2018,Brong Ahafo,DISTRICT2690,1,1264,1370,2072,985,2508,FAC1307
2018,Brong Ahafo,DISTRICT2690,2,5252,1222,4555,1193,4592,FAC1307
2018,Brong Ahafo,DISTRICT2690,3,6242,1836,1757,1546,2705,FAC1307
2018,Brong Ahafo,DISTRICT2690,4,4105,1783,2301,897,2552,FAC1307
2018,Brong Ahafo,DISTRICT5870,1,7649,1315,4479,1437,3308,FAC6206
2018,Brong Ahafo,DISTRICT5870,2,1236,1971,3338,678,4628,FAC6206
2018,Brong Ahafo,DISTRICT5870,3,1278,1718,1866,1508,2829,FAC6206
2018,Brong Ahafo,DISTRICT5870,4,8861,1302,4934,874,4020,FAC6206
2018,Brong Ahafo,DISTRICT5870,1,2444,1020,2265,1843,1461,FAC1351
2018,Brong Ahafo,DISTRICT5870,2,4824,886,3849,549,4675,FAC1351
2018,Brong Ahafo,DISTRICT5870,3,5487,545,2906,1956,4305,FAC1351
2018,Brong Ahafo,DISTRICT5870,4,3426,551,1139,1434,4286,FAC1351
2018,Brong Ahafo,DISTRICT5870,1,4838,977,3501,1905,3007,FAC3255
2018,Brong Ahafo,DISTRICT5870,2,7185,1741,4930,1490,1975,FAC3255
2018,Brong Ahafo,DISTRICT5870,3,4990,835,4773,1914,1804,FAC3255
2018,Brong Ahafo,DISTRICT5870,4,6533,1034,3966,761,3857,FAC3255
2018,Brong Ahafo,DISTRICT5870,1,1766,711,3908,662,4517,FAC9406
2018,Brong Ahafo,DISTRICT5870,2,3483,785,1730,1585,2298,FAC9406
2018,Brong Ahafo,DISTRICT5870,3,9421,583,4139,1238,1904,FAC9406
2018,Brong Ahafo,DISTRICT5870,4,1211,1404,895,845,2711,FAC9406
2018,Brong Ahafo,DISTRICT7450,1,7368,810,1898,1118,3658,FAC5926
2018,Brong Ahafo,DISTRICT7450,2,2041,613,4651,1277,2982,FAC5926
2018,Brong Ahafo,DISTRICT7450,3,3453,1057,1645,1477,3638,FAC5926
2018,Brong Ahafo,DISTRICT7450,4,5720,869,4831,1656,4335,FAC5926
2018,Brong Ahafo,DISTRICT1866,1,6673,1872,1288,1717,1632,FAC237
2018,Brong Ahafo,DISTRICT1866,2,2821,849,1575,940,4734,FAC237
2018,Brong Ahafo,DISTRICT1866,3,2803,1573,1740,1467,1662,FAC237
2018,Brong Ahafo,DISTRICT1866,4,7189,803,4447,987,2967,FAC237
2018,Brong Ahafo,DISTRICT1866,1,8397,1637,1141,1864,4096,FAC6586
2018,Brong Ahafo,DISTRICT1866,2,8154,1314,1992,1964,2720,FAC6586
2018,Brong Ahafo,DISTRICT1866,3,8095,1421,3110,963,1867,FAC6586
2018,Brong Ahafo,DISTRICT1866,4,3509,655,2050,819,2688,FAC6586
2018,Central,DISTRICT3002,1,4164,1864,3905,838,1576,FAC770
2018,Central,DISTRICT3002,2,8687,1090,1303,1388,2796,FAC770
2018,Central,DISTRICT3002,3,3500,1501,1025,853,3921,FAC770
2018,Central,DISTRICT3002,4,7770,1845,2388,924,807,FAC770
2018,Central,DISTRICT3002,1,6024,602,1853,1511,4914,FAC1151
